datestamp,centre_name,purchasing_power_quantile,estimated_actual_footfall,estimated_actual_footfall_rolling,indexed_signal,indexed_signal_rolling,source
2019-03-28,Met Office - Bradford,0,664837,677504,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-29,Met Office - Bradford,0,738125,659909,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-30,Met Office - Bradford,0,616266,587154,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-03-31,Met Office - Bradford,0,579057,569414,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-01,Met Office - Bradford,0,659425,661379,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-02,Met Office - Bradford,0,634940,631411,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-03,Met Office - Bradford,0,661084,636507,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-04,Met Office - Bradford,0,654453,675870,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-05,Met Office - Bradford,0,618471,673106,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-06,Met Office - Bradford,0,667068,604887,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-07,Met Office - Bradford,0,606205,572432,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-08,Met Office - Bradford,0,713357,664224,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-09,Met Office - Bradford,0,628870,622407,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-10,Met Office - Bradford,0,688571,645559,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-11,Met Office - Bradford,0,646443,675196,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-12,Met Office - Bradford,0,651434,682585,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-13,Met Office - Bradford,0,658234,616655,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-14,Met Office - Bradford,0,655470,582312,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-15,Met Office - Bradford,0,705728,677234,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-16,Met Office - Bradford,0,594817,606673,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-17,Met Office - Bradford,0,646579,634729,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-18,Met Office - Bradford,0,713770,674049,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-19,Met Office - Bradford,0,606526,656851,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-20,Met Office - Bradford,0,671331,630737,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-21,Met Office - Bradford,0,665217,610997,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-22,Met Office - Bradford,0,668684,661808,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-23,Met Office - Bradford,0,672195,624214,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-24,Met Office - Bradford,0,566031,613184,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-25,Met Office - Bradford,0,696287,669503,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-26,Met Office - Bradford,0,655318,649465,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-27,Met Office - Bradford,0,572038,627226,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-28,Met Office - Bradford,0,487452,599134,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-29,Met Office - Bradford,0,501224,639597,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-04-30,Met Office - Bradford,0,537693,594517,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-01,Met Office - Bradford,0,674494,626395,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-02,Met Office - Bradford,0,664329,667272,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-03,Met Office - Bradford,0,646458,652635,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-04,Met Office - Bradford,0,688272,638143,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-05,Met Office - Bradford,0,747373,595072,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-06,Met Office - Bradford,0,570625,632576,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-07,Met Office - Bradford,0,688809,613043,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-08,Met Office - Bradford,0,616504,636431,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-09,Met Office - Bradford,0,568086,658315,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-10,Met Office - Bradford,0,601440,645396,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-11,Met Office - Bradford,0,606356,639938,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-12,Met Office - Bradford,0,481549,603189,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-13,Met Office - Bradford,0,657854,639557,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-14,Met Office - Bradford,0,673500,632975,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-15,Met Office - Bradford,0,636999,641466,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-16,Met Office - Bradford,0,703030,663771,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-17,Met Office - Bradford,0,852053,661671,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-18,Met Office - Bradford,0,826128,669918,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-19,Met Office - Bradford,0,688663,618847,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-20,Met Office - Bradford,0,770172,655378,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-21,Met Office - Bradford,0,682926,639830,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-22,Met Office - Bradford,0,771588,657252,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-23,Met Office - Bradford,0,688941,668698,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-24,Met Office - Bradford,0,698674,673129,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-25,Met Office - Bradford,0,662201,669223,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-26,Met Office - Bradford,0,725980,635958,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-27,Met Office - Bradford,0,700257,653506,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-28,Met Office - Bradford,0,677254,646742,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-29,Met Office - Bradford,0,675797,655428,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-30,Met Office - Bradford,0,661631,670868,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-05-31,Met Office - Bradford,0,754937,687915,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-01,Met Office - Bradford,0,784627,687279,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-02,Met Office - Bradford,0,751002,649605,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-03,Met Office - Bradford,0,752174,660141,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-04,Met Office - Bradford,0,682954,659333,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-05,Met Office - Bradford,0,681964,660482,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-06,Met Office - Bradford,0,656092,662628,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-07,Met Office - Bradford,0,652066,694421,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-08,Met Office - Bradford,0,610569,678599,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-09,Met Office - Bradford,0,622952,643567,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-10,Met Office - Bradford,0,635075,655340,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-11,Met Office - Bradford,0,668175,658759,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-12,Met Office - Bradford,0,784641,691712,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-13,Met Office - Bradford,0,621980,652013,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-14,Met Office - Bradford,0,760154,709397,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-15,Met Office - Bradford,0,658700,690979,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-16,Met Office - Bradford,0,719264,676683,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-17,Met Office - Bradford,0,619848,672286,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-18,Met Office - Bradford,0,735236,686979,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-19,Met Office - Bradford,0,671561,691293,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-20,Met Office - Bradford,0,755386,665021,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
2019-06-21,Met Office - Bradford,0,771972,727328,,,huq-geospatial-gb/met_office_bradford/footfall/footfall_2019-01-01_2024-12-31.csv
