,datestamp,estimated_actual_footfall,year,month,weekday,week_of_year,Sin_weekday,Cos_weekday,Sin_monthday,Cos_monthday,Sin_week_of_year,Cos_week_of_year,Sin_month,Cos_month,is_weekend,bank_hol,school_hol,covid,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,daylight_duration,area_name,area_Bradford - BID,area_Bradford - City Centre,area_Bradford - Lister Park,area_Bradford - Local Authority,area_Bradford - Roberts Park
15609,2022-12-17,25735.06,2022,12,5,50,-0.8660254037844386,0.5000000000000001,-0.2993631229733582,-0.9541392564000488,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,1,0,0,0,1.2374998,1.6,22.828087,26745.943,Bradford - Lister Park,0,0,1,0,0
15610,2022-12-17,690056.0,2022,12,5,50,-0.8660254037844386,0.5000000000000001,-0.2993631229733582,-0.9541392564000488,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,1,0,0,0,1.3099166,0.3,25.96995,26745.943,Bradford - Local Authority,0,0,0,1,0
15611,2022-12-17,10405.45,2022,12,5,50,-0.8660254037844386,0.5000000000000001,-0.2993631229733582,-0.9541392564000488,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,1,0,0,0,1.2374998,1.6,22.828087,26745.943,Bradford - Roberts Park,0,0,0,0,1
15617,2022-12-18,59519.17,2022,12,6,50,-2.4492935982947064e-16,1.0,-0.4853019625310808,-0.8743466161445822,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,1,0,0,0,0.43958333,1.9000001,21.67487,26717.2,Bradford - BID,1,0,0,0,0
15618,2022-12-18,35086.27,2022,12,6,50,-2.4492935982947064e-16,1.0,-0.4853019625310808,-0.8743466161445822,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,1,0,0,0,0.43958333,1.9000001,21.67487,26717.2,Bradford - City Centre,0,1,0,0,0
15619,2022-12-18,17698.2,2022,12,6,50,-2.4492935982947064e-16,1.0,-0.4853019625310808,-0.8743466161445822,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,1,0,0,0,0.43958333,1.9000001,21.67487,26717.2,Bradford - Lister Park,0,0,1,0,0
15620,2022-12-18,652004.0,2022,12,6,50,-2.4492935982947064e-16,1.0,-0.4853019625310808,-0.8743466161445822,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,1,0,0,0,1.1828333,2.1999998,20.188908,26717.2,Bradford - Local Authority,0,0,0,1,0
15621,2022-12-18,6187.94,2022,12,6,50,-2.4492935982947064e-16,1.0,-0.4853019625310808,-0.8743466161445822,-0.3482016354343991,0.9374196611341208,-2.4492935982947064e-16,1.0,1,0,0,0,0.43958333,1.9000001,21.67487,26717.2,Bradford - Roberts Park,0,0,0,0,1
15628,2022-12-19,77700.615,2022,12,0,51,0.0,1.0,-0.651372482722222,-0.7587581226927911,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,10.218751,1.5000001,33.16692,26695.424,Bradford - BID,1,0,0,0,0
15629,2022-12-19,55077.96,2022,12,0,51,0.0,1.0,-0.651372482722222,-0.7587581226927911,-0.2348860457809837,0.9720229140804107,-2.4492935982947064e-16,1.0,0,0,1,0,10.218751,1.5000001,33.16692,26695.424,Bradford - City Centre,0,1,0,0,0
