area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,,Event took place
BD WALL - Wayfinders,daily,23/04/2019,22815.2,22815.2,5649.486807,5649.486807,17165.71319292375,17165.71319292375,,
BD WALL - Wayfinders,daily,24/04/2019,35568.84,35568.84,8807.535867,8807.535867,26761.304132551715,26761.304132551715,,
BD WALL - Wayfinders,daily,25/04/2019,21736.51,21736.51,5382.382204709184,5382.382204709184,16354.127795290815,16354.127795290815,,
BD WALL - Wayfinders,daily,26/04/2019,16302.38,16302.38,4036.786034483315,4036.786034483315,12265.593965516684,12265.593965516684,,
BD WALL - Wayfinders,daily,27/04/2019,18631.3,18631.3,2309.4060955871273,2309.4060955871273,16321.893904412873,16321.893904412873,,
BD WALL - Wayfinders,daily,28/04/2019,23381.69,23381.69,2898.231331744354,2898.231331744354,20483.458668255647,20483.458668255647,,
BD WALL - Wayfinders,daily,29/04/2019,23652.18,23652.18,5856.739317147899,5856.739317147899,17795.440682852102,17795.440682852102,,
BD WALL - Wayfinders,weekly,29/04/2019,225102.51,32157.5,48227.61033466025,6889.6583131695725,176874.89966533976,25267.84168683043,,
BD WALL - Wayfinders,daily,30/04/2019,17784.42,17784.42,4403.767934,4403.767934,13380.652066275858,13380.652066275858,,
BD WALL - Wayfinders,daily,01/05/2019,19324.4,19324.4,4785.096902708033,4785.096902708033,14539.30309729197,14539.30309729197,,
BD WALL - Wayfinders,monthly,01/05/2019,854378.58,27560.6,183048.32422579537,5904.784790669092,671330.2557742046,21655.815209330907,,
BD WALL - Wayfinders,daily,02/05/2019,33149.05,33149.05,8208.348848228856,8208.348848228856,24940.701151771147,24940.701151771147,,
BD WALL - Wayfinders,daily,03/05/2019,85715.64,85715.64,21224.857872825894,21224.857872825894,64490.782127174105,64490.782127174105,,
BD WALL - Wayfinders,daily,04/05/2019,70793.31,70793.31,8775.045307669843,8775.045307669843,62018.26469233016,62018.26469233016,,
BD WALL - Wayfinders,daily,05/05/2019,41642.48,41642.48,5161.71159,5161.71159,36480.76841,36480.76841,,
BD WALL - Wayfinders,daily,06/05/2019,27054.17,27054.17,6699.138139985539,6699.138139985539,20355.03186001446,20355.03186001446,,
BD WALL - Wayfinders,weekly,06/05/2019,178697.47,25528.21,38285.45470661185,5469.350672373121,140412.01529338816,20058.85932762688,,
BD WALL - Wayfinders,daily,07/05/2019,22501.63,22501.63,5571.840782579648,5571.840782579648,16929.78921742035,16929.78921742035,,
BD WALL - Wayfinders,daily,08/05/2019,24741.56,24741.56,6126.4909712159215,6126.4909712159215,18615.06902878408,18615.06902878408,,
BD WALL - Wayfinders,daily,09/05/2019,28002.49,28002.49,6933.960597,6933.960597,21068.52940266644,21068.52940266644,,
BD WALL - Wayfinders,daily,10/05/2019,15048.35,15048.35,3726.263841354268,3726.263841354268,11322.086158645732,11322.086158645732,,
BD WALL - Wayfinders,daily,11/05/2019,2331.82,2331.82,289.03615538432507,289.03615538432507,2042.7838446156752,2042.7838446156752,,
BD WALL - Wayfinders,daily,12/05/2019,13331.84,13331.84,1652.5219690194615,1652.5219690194615,11679.31803098054,11679.31803098054,,
BD WALL - Wayfinders,daily,13/05/2019,47511.38,47511.38,11764.740808583156,11764.740808583156,35746.63919141684,35746.63919141684,,
BD WALL - Wayfinders,weekly,13/05/2019,188960.55,26994.36,40484.292129941525,5783.469386074546,148476.25787005847,21210.890613925458,,
BD WALL - Wayfinders,daily,14/05/2019,24418.42,24418.42,6046.475229,6046.475229,18371.94477122064,18371.94477122064,,
BD WALL - Wayfinders,daily,15/05/2019,17536.27,17536.27,4342.321172302984,4342.321172302984,13193.948827697017,13193.948827697017,,
BD WALL - Wayfinders,daily,16/05/2019,23714.92,23714.92,5872.274960152386,5872.274960152386,17842.64503984761,17842.64503984761,,
BD WALL - Wayfinders,daily,17/05/2019,26393.15,26393.15,6535.456744722139,6535.456744722139,19857.693255277863,19857.693255277863,,
BD WALL - Wayfinders,daily,18/05/2019,6376.83,6376.83,790.4274029468079,790.4274029468079,5586.402597053192,5586.402597053192,,
