area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,
Baildon,daily,17/06/2019,12882.94,12882.94,8281.319806,8281.319806,4601.620194,4601.620194,
Baildon,daily,17/06/2019,25765.87,25765.87,16562.63318,16562.63318,9203.236816,9203.236816,
Baildon,daily,18/06/2019,16526.94,16526.94,10623.72995,10623.72995,5903.210048,5903.210048,
Baildon,daily,19/06/2019,6899.5,6899.5,4435.087488,4435.087488,2464.412512,2464.412512,
Baildon,daily,20/06/2019,6205.32,6205.32,5425.8665,5425.8665,779.4534997,779.4534997,
Baildon,daily,21/06/2019,11666.72,11666.72,10201.25718,10201.25718,1465.462818,1465.462818,
Baildon,daily,22/06/2019,16929.89,16929.89,10882.7514,10882.7514,6047.138596,6047.138596,
Baildon,daily,23/06/2019,8208.96,8208.96,5276.825246,5276.825246,2932.134754,2932.134754,
Baildon,daily,24/06/2019,14345.4,14345.4,9221.407935,9221.407935,5123.992065,5123.992065,
Baildon,daily,24/06/2019,10020.06,10020.06,6441.023659,6441.023659,3579.036341,3579.036341,
Baildon,daily,25/06/2019,8472.41,8472.41,5446.1743,5446.1743,3026.2357,3026.2357,
Baildon,daily,26/06/2019,6205.32,6205.32,5425.8665,5425.8665,779.4534997,779.4534997,
Baildon,daily,27/06/2019,13873.93,13873.93,12131.21838,12131.21838,1742.711624,1742.711624,
Baildon,daily,28/06/2019,12882.94,12882.94,8281.319806,8281.319806,4601.620194,4601.620194,
Baildon,daily,29/06/2019,6556.7,6556.7,4214.731232,4214.731232,2341.968768,2341.968768,
Baildon,daily,30/06/2019,15914.22,15914.22,10229.86564,10229.86564,5684.354357,5684.354357,
Baildon,daily,01/07/2019,16808.82,16808.82,10804.92605,10804.92605,6003.893952,6003.893952,
Baildon,daily,01/07/2019,14623.87,14623.87,9400.412039,9400.412039,5223.457961,5223.457961,
Baildon,daily,01/07/2019,4833.84,4833.84,4226.658822,4226.658822,607.1811776,607.1811776,
Baildon,daily,02/07/2019,16396.46,16396.46,14336.89206,14336.89206,2059.56794,2059.56794,
Baildon,daily,03/07/2019,14623.87,14623.87,9400.412039,9400.412039,5223.457961,5223.457961,
Baildon,daily,04/07/2019,13873.93,13873.93,8918.340945,8918.340945,4955.589055,4955.589055,
Baildon,daily,05/07/2019,10205.14,10205.14,6559.995467,6559.995467,3645.144533,3645.144533,
Baildon,daily,06/07/2019,15030.09,15030.09,9661.535488,9661.535488,5368.554512,5368.554512,
Baildon,daily,07/07/2019,10295.17,10295.17,6617.867911,6617.867911,3677.302089,3677.302089,
Baildon,daily,08/07/2019,7599.9,7599.9,6645.272575,6645.272575,954.6274249,954.6274249,
Baildon,daily,08/07/2019,15659.69,15659.69,13692.66813,13692.66813,1967.021874,1967.021874,
Baildon,daily,09/07/2019,13197.15,13197.15,8483.298042,8483.298042,4713.851958,4713.851958,
